matrix size
10X10
15X15
20X20
25X25
30X30
35X35
40X40
45X45
48X48
50X50

AStar- nodes	AStar- cost
94		118
223		178
390		229
597		252
861		287
1189		366
1544		431
1954		511
2210		487
2404		512

DFS- nodes	DFS- cost
91		828
218		2000			
376		3474	
587		5263			
846		7613
1124		10905				
1488		14532			
1842	 	17055
1989		18637
2266		21295	

BFS- nodes	BFS- cost
92		171	
218                	302   				
384          	397	
594 		540	
852		558	
1172		652
1524		757					
1924		898
2175		976
2384		979	

Best First Search- nodes	Best First Search- cost
67			155
94			235		
279			338
245			314
419			458
437			517
1032			722
928			1010
1775			727
768			873

